system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,deforestation,geometry_name,year,.geo
81,0.633045814795592,0.09266468462092325,0.10616773751509952,0.10086224572970648,0.3309246602469996,0.18945472069856784,0.11186294525191276,0.003587529820054433,donor3,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.749251151903811,0.03078511590302014,0.052426744281675486,0.044068065901335725,0.30019646035334313,0.17351864854521942,0.0779501416752911,0.014245155402272024,donor4,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.5775910646130091,0.0696177722532595,0.08854803666359841,0.0946980190969645,0.29587642474073095,0.25584518195484673,0.13497576419333973,0.014810268357152453,donor5,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.7837642541543846,0.0958356193710852,0.08650199476896327,0.05584627569933674,0.35247761033362796,0.15739537263790512,0.06328345236288985,5.941848024533423E-5,treated,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.7174919179538126,0.06183490436063197,0.07474629908923687,0.06744171295170089,0.32814461552767454,0.18286983101058596,0.0848161484016422,0.0070217607961535035,donor1,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.7255164692418798,0.07552166385739822,0.08254838317587859,0.0742401779025954,0.3296586074813824,0.19441205169363995,0.08881253479786216,0.004490225347894543,donor2,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.7084165197351691,0.05960721364700281,0.07493757023302111,0.06693906817656209,0.32451952520022076,0.17623652245160912,0.08227526498279635,0.0036413437746445586,donor3,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.7038204571636901,0.06955530012214631,0.07956012182459304,0.06714084353288148,0.3305911255892753,0.19443524324620723,0.09221368571601474,0.010077080832196612,donor4,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.5842337947447479,0.08558328973262837,0.09621015557840686,0.0916752279843484,0.3189280116567875,0.24098338371274605,0.1261236815937826,0.00782762762378371,donor5,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.8032844072891123,0.03075791281721039,0.045711620965818406,0.03561681006473347,0.26517711246699854,0.1358630072767731,0.05356776250635062,0.015084537723469682,treated,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
