"system.index","B1","B2","B3","B4","B5","B7","B8","NDVI","date","gain","loss","lossyear","treecover2000",".geo","time","treatment","new_index","yearly_loss"
"19_0",0.08932474,0.07131627,0.047137544,0.25374055,0.12501557,0.04265225,0.12989056,0.68666685,"2009-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2009,"0","19_0_treated",1
"19_0",0.1282905,0.11411905,0.09388153,0.33760688,0.22344746,0.109658085,0.1974057,0.56484795,"2010-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2010,"0","19_0_treated",1
"19_0",0.10844161,0.09421386,0.07638742,0.3301456,0.22148585,0.09819815,0.18995532,0.62420064,"2011-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2011,"0","19_0_treated",1
"19_0",0.09505897,0.08409695,0.054705296,0.33806264,0.16716781,0.061573196,0.17572564,0.72143704,"2012-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2012,"1","19_0_treated",1
"19_0",0.110918224,0.097607255,0.08549784,0.29487464,0.24941006,0.11456087,0.17638327,0.550452,"2013-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2013,"1","19_0_treated",1
"19_0",0.110394195,0.10215731,0.07450709,0.3711992,0.19678319,0.074319966,0.20818141,0.6656673,"2014-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2014,"1","19_0_treated",1
"19_0",0.10628438,0.09576832,0.062916085,0.3337121,0.17721716,0.065550156,0.19134305,0.6827453,"2015-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2015,"1","19_0_treated",1
"22_0",0.10203376,0.0826996,0.05710738,0.28179818,0.12827918,0.047386702,0.16244365,0.66298944,"2001-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2001,"0","22_0_treated",0
"22_0",0.09111969,0.075595185,0.0483201,0.27297962,0.1272314,0.044872336,0.16130356,0.699221,"2002-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2002,"0","22_0_treated",0
"22_0",0.08772078,0.06794969,0.043969106,0.24527813,0.10892679,0.0355642,0.1386778,0.6959756,"2003-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2003,"0","22_0_treated",0
"22_0",0.1262847,0.10955955,0.08710149,0.30231336,0.16518155,0.08020104,0.18603598,0.5526545,"2004-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2004,"0","22_0_treated",0
"22_0",0.08869192,0.06790796,0.0413892,0.23021223,0.09652955,0.03122867,0.13058057,0.695221,"2005-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2005,"0","22_0_treated",0
"22_0",0.12904334,0.11246955,0.09269062,0.2888539,0.19067769,0.09983616,0.18119512,0.5141295,"2006-01-01",0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}",2006,"0","22_0_treated",0
