"geometry_name","ATT_SC","Pre.RMSE_SC","Post.RMSE_SC","Ratio.Post.Pre_SC","order.x","rank.x","ATT_SCMO","Pre.RMSE_SCMO","Post.RMSE_SCMO","Ratio.Post.Pre_SCMO","order.y","rank.y","SCMO_wins_SC","centroid_lat","centroid_lon"
"donor118.0",-0.00523729446683252,0.00154569703395535,0.00848758016176367,5.49110205642592,12,0.102564102564103,-0.00751086202153708,0.000733578094546931,0.0154892907081047,21.1147126982725,25,0.211864406779661,FALSE,-2.50517508165738,-50.9363374069693
"donor22.0",-0.0108262064745437,0.00308776176320275,0.0159696489836647,5.17191746266731,13,0.111111111111111,-0.00642143881517411,0.000292012339550218,0.00934596068629522,32.0053621730187,19,0.161016949152542,TRUE,-3.47184350473205,-48.7126512003987
"donor37.0",-0.0115108883398738,0.003165461042626,0.014061157503756,4.442056722357,14,0.11965811965812,-0.00779698032492259,0.000872148020791962,0.0115520670411439,13.2455348928659,34,0.288135593220339,TRUE,-9.41512659830628,-55.257249403964
"donor74.0",-0.00618340157340229,0.00274866815050566,0.0120953183588301,4.40042875186844,15,0.128205128205128,-0.0120878841399144,0.00045212656469672,0.0194075518494162,42.9250421559161,7,0.0593220338983051,FALSE,-4.99842100657511,-56.8416422897181
"donor102.0",0.00698317928551185,0.00222799999334674,0.00917680960009455,4.11885530857198,16,0.136752136752137,0.00637315459982476,0.00332735482877138,0.00908326683131713,2.72987622263031,86,0.728813559322034,TRUE,-6.83765750301413,-51.3040217155583
"donor116.0",0.00569408837637518,0.00299914639536647,0.0118924374215082,3.96527406594136,17,0.145299145299145,0.00183702818074511,0.00166122181885004,0.0187587669225431,11.2921505783789,41,0.347457627118644,TRUE,-6.51145554980802,-55.8848821718689
"donor85.0",-0.0127391183182869,0.0060684927314487,0.0240588960733591,3.96455876904637,18,0.153846153846154,-0.0050054286954689,0.000660392890830075,0.00698475729305946,10.5766694191393,45,0.38135593220339,TRUE,-1.22626891320532,-55.6160577828636
"donor130.0",-0.00608857737428583,0.00238178716548338,0.00919923228927744,3.86232339421078,19,0.162393162393162,-0.00346997178758135,0.000778710077258425,0.0058242251983245,7.4793242933617,59,0.5,TRUE,-1.19536692799501,-56.3478180540468
"donor29.0",-0.00898741736415224,0.00355780015439474,0.0129798029322836,3.64826644808882,20,0.170940170940171,-0.00458152580719992,0.00022525156381418,0.00615597782431196,27.3293455551336,22,0.186440677966102,TRUE,-8.48580466760401,-56.3267598295656
"donor97.0",-0.00733416339283594,0.00385217179959063,0.0135771511771399,3.52454456433712,21,0.17948717948718,0.00361954556254321,5.66664003164103e-05,0.0053478444423696,94.3741690403597,3,0.0254237288135593,TRUE,-8.46049161731058,-56.3118914567222
"donor70.0",0.0131156081683476,0.00892123176647118,0.0305111777494254,3.42006334417811,22,0.188034188034188,0.00496439841462969,0.00331316907692611,0.0146395796238139,4.41860324176276,73,0.61864406779661,TRUE,-8.18726400081745,-54.8916964202884
"donor65.0",0.00412312897712558,0.0090294539800642,0.0300327578670056,3.32608792661371,23,0.196581196581197,0.0115144634164274,0.000901322051148427,0.0339288874978777,37.6434676757846,11,0.0932203389830508,FALSE,-6.98308268336779,-50.8962679815273
"donor132.0",-0.000231481179846487,0.00631657163943969,0.0204836547850046,3.24284373774973,24,0.205128205128205,0.00382243440698478,0.00298873809504627,0.0335072815211299,11.2111802558635,42,0.35593220338983,FALSE,-2.33143464337211,-50.5037660386105
"donor41.0",0.00414486873124729,0.00516115283178623,0.016280105747766,3.15435451697941,25,0.213675213675214,-0.00211746031122156,0.00178331869001323,0.0244913282722323,13.7335678751006,33,0.279661016949153,TRUE,-6.46338413622544,-50.1125209713228
"donor31.0",0.00679448247909567,0.00615602934186827,0.0193240871256156,3.13905052306833,26,0.222222222222222,-0.00141609432899564,0.00310046298915225,0.00640009568518957,2.06423869840792,97,0.822033898305085,TRUE,-1.6183363747862,-53.873642743326
"donor124.0",-0.0041393783109023,0.00158570724601369,0.00493454537407161,3.11188927620565,27,0.230769230769231,-0.00138024142741609,0.00061982573701237,0.00598964947622394,9.66344105860257,47,0.398305084745763,TRUE,-2.04909234562478,-54.8939561600376
