"treated_point","ATT","Pre.RMSE","Post.RMSE","Ratio.Post.Pre","order","rank"
"donor2.0",-0.0129511054616537,0.00595107476105405,0.0224947745080086,3.77995159046268,79,0.669491525423729
"donor121.0",-0.00548761172096245,0.00414375246860467,0.0154989495896675,3.74031743138519,80,0.677966101694915
"donor115.0",-0.00142576158753983,0.000535573515911447,0.0019693542938499,3.67709424633968,81,0.686440677966102
"donor79.0",-0.000489168182996574,0.00857484939079762,0.031241022397871,3.64333190870948,82,0.694915254237288
"donor38.0",0.000548141222907959,0.00179569602130418,0.00595678773313214,3.31725841259359,83,0.703389830508475
"donor57.0",0.000550160168545421,0.00294287878800907,0.00930866755384156,3.16311619485323,84,0.711864406779661
"donor131.0",-0.00035476130862588,0.00196501436409415,0.00612818407875003,3.11864594515321,85,0.720338983050847
"donor102.0",0.00637315459982476,0.00332735482877138,0.00908326683131713,2.72987622263031,86,0.728813559322034
"donor96.0",0.0127925805059159,0.00690948264623047,0.0180164788999247,2.6075004196955,87,0.73728813559322
"donor69.0",-0.0129226315296873,0.00776828694445827,0.0199939522551691,2.57379167352107,88,0.745762711864407
"donor145.0",-0.0079669565620382,0.00605920127202236,0.015399480604576,2.5415033951226,89,0.754237288135593
"donor26.0",0.00727278075990459,0.00385628036402942,0.00967946955618205,2.51005337850176,90,0.76271186440678
"donor15.0",-0.00361537355314571,0.00272401970901225,0.00659046813735793,2.41939076855934,91,0.771186440677966
"donor137.0",0.00378633060721527,0.0053311478982213,0.0126303444123437,2.36916038599448,92,0.779661016949153
"donor28.0",-0.00300622225620344,0.00513607749947542,0.0116678962282684,2.27175236928574,93,0.788135593220339
"donor16.0",-0.00597489220363807,0.00370591102412227,0.00791392566803671,2.13548723013691,94,0.796610169491525
"donor140.0",-0.00600982049923387,0.00812109024247851,0.0171618086280356,2.113239493174,95,0.805084745762712
"donor122.0",0.00606520470184188,0.00579852038828088,0.011970176174562,2.06435010537418,96,0.813559322033898
"donor31.0",-0.00141609432899564,0.00310046298915225,0.00640009568518957,2.06423869840792,97,0.822033898305085
"donor46.0",0.00578229499747717,0.0202666935149271,0.036820967018028,1.81682162366091,98,0.830508474576271
"donor144.0",0.00497735169125229,0.00718677155151579,0.0130242402736844,1.81225188254904,99,0.838983050847458
"donor32.0",0.000654199524788803,0.00531221678407785,0.00960880679694575,1.80881300359314,100,0.847457627118644
"donor78.0",-0.0036423236671806,0.0070406626784947,0.0127145938241439,1.80588027075632,101,0.85593220338983
"donor47.0",0.00125524250699443,0.00444145657964212,0.00722226931679534,1.62610377638259,102,0.864406779661017
"donor52.0",-0.00964434046819877,0.00710946835855164,0.0113822107420515,1.600993234376,103,0.872881355932203
"donor120.0",-1.56694151466188e-05,0.00238754297628165,0.00368467552213412,1.54329181034162,104,0.88135593220339
"donor55.0",-0.00389433812396477,0.00407746288659409,0.0062645772650055,1.53639099588183,105,0.889830508474576
"donor62.0",0.0144580450795943,0.0179939325106842,0.0266691760939268,1.48212049134294,106,0.898305084745763
"donor107.0",0.00137178006491367,0.00446257760140352,0.00629914896141643,1.41154945057657,107,0.906779661016949
"donor135.0",0.00215289360242011,0.00941942097616306,0.0131715462097877,1.39833926555782,108,0.915254237288136
"donor6.0",0.00209717291771404,0.00728002727794116,0.00992906621537338,1.36387761148354,109,0.923728813559322
"donor142.0",-0.0071852213272379,0.011000954582334,0.012907735911658,1.17332871570855,110,0.932203389830508
"donor123.0",-0.00133096144793034,0.0072411522657331,0.0070653437266532,0.975720916695555,111,0.940677966101695
"donor110.0",0.000109466228949223,0.00227059536972374,0.00221157864706862,0.974008260810335,112,0.949152542372881
"donor81.0",0.00266121187850886,0.00485207527074894,0.00459750415957181,0.947533561008045,113,0.957627118644068
"donor23.0",-0.00994003073492484,0.0120440482128328,0.0110230524812904,0.915228192921505,114,0.966101694915254
"donor93.0",0.00231655955118937,0.00984693933183859,0.00883747094439354,0.897484045201631,115,0.974576271186441
"donor89.0",-0.00987883501719454,0.0163672102148181,0.0120128887816379,0.733960682606864,116,0.983050847457627
"donor90.0",0.0102008957253454,0.0227156543579889,0.0116179658293429,0.511451954949166,117,0.991525423728814
"donor56.0",-0.00317545916264899,0.0203003609285045,0.00944720603080687,0.465371333252586,118,1
