"treated_point","ATT","Pre.RMSE","Post.RMSE","Ratio.Post.Pre","order","rank"
"donor2.0",-0.0017944707206112,0.0101676769275758,0.0058216723482331,0.572566613760527,98,0.837606837606838
"donor42.0",0.00133341085446411,0.00490266349633984,0.00276237765122052,0.563444269279916,99,0.846153846153846
"donor24.0",-0.00932588693625597,0.023053051625595,0.0128123758793723,0.555777867826712,100,0.854700854700855
"donor73.0",-0.00431943150866673,0.0102618718688898,0.00569651603849285,0.555114711163231,101,0.863247863247863
"donor25.0",0.00123025831849052,0.00811788552765911,0.00450310396101614,0.554713902490155,102,0.871794871794872
"donor28.0",0.000547652105366967,0.0118922009425341,0.00616975053976038,0.518806448829282,103,0.88034188034188
"donor47.0",0.000467662966268124,0.0102719696716219,0.00527622579158102,0.513652781331462,104,0.888888888888889
"donor93.0",0.000974913522970115,0.0146882844076341,0.00752438788119309,0.512271390747469,105,0.897435897435897
"donor55.0",-0.00298640269955416,0.01376220497092,0.00681408790416397,0.495130534573665,106,0.905982905982906
"donor145.0",-0.00443532138233254,0.0166321546699898,0.00805656169886153,0.484396751877156,107,0.914529914529915
"donor56.0",-0.015086035193205,0.0358520099732066,0.0172255165633952,0.480461669409006,108,0.923076923076923
"donor9.0",0.00280236150000867,0.0212297273727711,0.00918060419051482,0.432440983782473,109,0.931623931623932
"donor59.0",0.00455739591237968,0.0141727130711371,0.0060222520972403,0.424918790566972,110,0.94017094017094
"donor49.0",0.00207346520482017,0.0294720784272199,0.0124802155488911,0.423458955557222,111,0.948717948717949
"donor81.0",-0.00105831755199182,0.0091889571709467,0.00378808986341665,0.412243717425704,112,0.957264957264957
"donor90.0",0.00679763369036426,0.024685942850866,0.00972683540698057,0.39402324901029,113,0.965811965811966
"donor78.0",0.00163799317199321,0.015070901011482,0.00552084691344129,0.366324940309486,114,0.974358974358974
"donor23.0",-0.00738722314406893,0.0253951205980775,0.00894955180020162,0.352412258317023,115,0.982905982905983
"donor140.0",-0.00579655615663108,0.0405024089728136,0.0141554040450594,0.349495360993488,116,0.991452991452991
"donor89.0",-0.0029905622114277,0.0224618561444438,0.00543666867118979,0.24204004496461,117,1
